origin,dist,orig_latt,orig_long,dist_latt,dist_long,weight,distance,travel_type_id,duration
1269,1286,41.0426,29.0398,41.037002,28.985092,398,12915,1,39.8
1269,1291,41.0426,29.0398,41.0492,29.0111,65,2183,1,6.5
1269,1292,41.0426,29.0398,41.0848,29.0567,75,2547,1,7.5
1269,1293,41.0426,29.0398,41.0292,28.9611,438,14180,1,43.8
1269,1294,41.0426,29.0398,40.9735,28.7844,15130,466515,1,1495.8
1269,1295,41.0426,29.0398,41.01903,28.95036,441,14274,1,44.1
1269,1296,41.0426,29.0398,41.0047,28.97222,20,695,1,2
1269,1297,41.0426,29.0398,41.0127,28.96448,53,1801,1,5.3
1269,1298,41.0426,29.0398,40.9643,28.7995,15133,466613,1,1496.1
1269,1299,41.0426,29.0398,41.0085,28.98108,15,507,1,1.5
1269,1319,41.0426,29.0398,41.0211,29.0041,7,244,1,0.7
1269,1320,41.0426,29.0398,41.0379,29.9553,2918,65272,1,289
1269,1326,41.0426,29.0398,41.0083,28.9778,20,677,1,2
1269,1328,41.0426,29.0398,40.8766,29.0906,258,7982,1,25.8
1269,1329,41.0426,29.0398,41.0793,29.06509,48,1611,1,4.8
1269,1332,41.0426,29.0398,41.1197,29.0254,486,15715,1,48.6
1269,1334,41.0426,29.0398,41.0312,28.9391,491,15882,1,49.1
1269,1336,41.0426,29.0398,41.0042,28.9773,10,365,1,1
1269,1338,41.0426,29.0398,41.0422,28.9485,491,15882,1,49.1
1269,1339,41.0426,29.0398,41.0479,28.9337,491,15882,1,49.1
1269,1341,41.0426,29.0398,41.0311,28.9391,491,15882,1,49.1
1269,1343,41.0426,29.0398,41.0062,28.9747,20,679,1,2
1269,1346,41.0426,29.0398,41.026455,28.980856,59,2013,1,5.9
1269,1350,41.0426,29.0398,41.0391,29.0004,58,1952,1,5.8
1269,1360,41.0426,29.0398,41.027418,28.983277,58,1955,1,5.8
1269,1397,41.0426,29.0398,41.0429,28.9348,491,15882,1,49.1
1269,1400,41.0426,29.0398,41.0096,28.9818,16,558,1,1.6
1269,1401,41.0426,29.0398,41.0266,28.9844,54,1823,1,5.4
1271,1249,41.01766,28.9688,41.024561,28.979458,1,32,1,0.1
1271,1251,41.01766,28.9688,41.026726,28.981262,1,44,1,0.1
1271,1259,41.01766,28.9688,41.01586,28.955911,362,11661,1,36.2
1271,1261,41.01766,28.9688,41.037647,28.996266,2,98,1,0.2
1271,1263,41.01766,28.9688,41.031442,28.936176,433,13914,1,43.3
1271,1264,41.01766,28.9688,41.0115,28.9833,45,1337,1,4.5
1271,1268,41.01766,28.9688,41.0258,28.9744,340,10964,1,34
1271,1269,41.01766,28.9688,41.0426,29.0398,66,1968,1,6.6
1271,1271,41.01766,28.9688,41.01766,28.9688,0,0,1,0
1271,1272,41.01766,28.9688,41.0161,28.9642,343,11050,1,34.3
1271,1273,41.01766,28.9688,41.007915,28.979345,47,1410,1,4.7
